Connected with result code: 0
uark/csce5013/hjnauman/wifi_rtls : b'0 | -41'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -62'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -43'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -41'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -43'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -46'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -45'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -53'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -43'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -44'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -44'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -45'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -46'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -47'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -45'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -45'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -45'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -42'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -55'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -48'
Mean rssi for rpi_node 0 : -46
Estimated distance of phone from rpi_node 0 : 7.943282347242816

uark/csce5013/hjnauman/wifi_rtls : b'1 | -74'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -72'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -70'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -64'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -69'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -64'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -68'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -69'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -68'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -65'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -71'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -67'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -63'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -68'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -74'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -65'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -65'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -67'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -63'
uark/csce5013/hjnauman/wifi_rtls : b'1 | -66'
Mean rssi for rpi_node 1 : -67
Estimated distance of phone from rpi_node 1 : 26.6072505979881

uark/csce5013/hjnauman/wifi_rtls : b'2 | -55'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -58'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -64'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -58'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -64'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -66'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -64'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -63'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -69'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -64'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -62'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -63'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -60'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -63'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -77'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -65'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -70'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -69'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -70'
uark/csce5013/hjnauman/wifi_rtls : b'2 | -68'
Mean rssi for rpi_node 2 : -64
Estimated distance of phone from rpi_node 2 : 22.3872113856834
